start_height = 2.0
stop_height = 0.4
start_point = 12
v0 = 0.4
tau_dot = 0.75
buf_size = 1
order = 1
r.length = 0

stage	r	t	r_filt	v	tau	v_need	a_need	cmnd	marker
ef	0.924	1554505696.94	0.924	-0.125871444273	-7.34082305431	-0.125585664683	0.00428669385373	-0.178	1
ef	0.916	1554505697.01	0.916	-0.123462195387	-7.4192751646	-0.123184849796	0.00416018386728	-0.174	1
ef	0.906	1554505697.08	0.906	-0.150582288297	-6.01664385796	-0.150165161264	0.00625690550464	-0.212	1
ef	0.9	1554505697.14	0.9	-0.0910775644923	-9.88168716431	-0.090923951108	0.00230420076496	-0.128	1
ef	0.894	1554505697.21	0.894	-0.0925568011298	-9.65893363953	-0.0923970926765	0.00239562679961	-0.13	1
ef	0.886	1554505697.27	0.886	-0.122804746115	-7.21470487118	-0.122521055264	0.00425536277325	-0.173	1
ef	0.877	1554505697.34	0.877	-0.135295764653	-6.48209500313	-0.134947894187	0.00521805699344	-0.191	1
ef	0.87	1554505697.4	0.87	-0.107677204512	-8.07970455715	-0.107455089946	0.00333171849759	-0.152	1
ef	0.861	1554505697.47	0.861	-0.132536342506	-6.49633137385	-0.132196313817	0.00510043033827	-0.187	1
ef	0.852	1554505697.53	0.852	-0.140005622666	-6.08546988169	-0.139622180287	0.0057516356743	-0.197	1
ef	0.844	1554505697.6	0.844	-0.125148935535	-6.74396467209	-0.124839649278	0.0046392938583	-0.177	1
ef	0.836	1554505697.66	0.836	-0.123319717891	-6.77912676334	-0.123016533026	0.00454777297267	-0.174	1
ef	0.83	1554505697.73	0.83	-0.0923333504553	-8.98916800817	-0.0921621567283	0.00256790590551	-0.13	1
ef	0.822	1554505697.79	0.822	-0.120975288968	-6.79477608204	-0.120678552948	0.00445104031052	-0.171	1
ef	0.813	1554505697.86	0.813	-0.135666769693	-5.99262444178	-0.135289453736	0.00565973936007	-0.191	1
ef	0.807	1554505697.93	0.807	-0.0934990265868	-8.63110589981	-0.0933184799538	0.00270819949587	-0.132	1
ef	0.8	1554505697.99	0.8	-0.105780154058	-7.5628553118	-0.105547040704	0.00349670031016	-0.149	1
ef	0.791	1554505698.06	0.791	-0.138318851201	-5.71867097749	-0.137915730581	0.00604680929123	-0.195	1
ef	0.783	1554505698.12	0.783	-0.122946485954	-6.36862447858	-0.122624735455	0.00482625747394	-0.173	1
ef	0.774	1554505698.19	0.774	-0.137423044159	-5.63224315643	-0.137016388408	0.00609983626159	-0.194	1
ef	0.764	1554505698.25	0.764	-0.15194826743	-5.02802705765	-0.151444596488	0.00755506412792	-0.214	1
ef	0.757	1554505698.32	0.757	-0.103877442135	-7.28743396487	-0.103639870075	0.0035635809064	-0.146	1
ef	0.748	1554505698.38	0.748	-0.14296651631	-5.23199431101	-0.142511092407	0.00683135855142	-0.201	1
ef	0.736	1554505698.45	0.736	-0.182060906838	-4.04260317485	-0.181310314135	0.0112588905567	-0.255	1
ef	0.725	1554505698.51	0.725	-0.170555627846	-4.25081253052	-0.169886910095	0.0100307662724	-0.24	1
ef	0.714	1554505698.58	0.714	-0.167836242929	-4.25414670597	-0.167178703143	0.00986309679291	-0.236	1
ef	0.705	1554505698.64	0.705	-0.138221608697	-5.10050495466	-0.137769948813	0.00677489826624	-0.195	1
ef	0.697	1554505698.71	0.697	-0.121323908319	-5.74495175481	-0.120971935801	0.00527958777974	-0.171	1
ef	0.687	1554505698.78	0.687	-0.152024269927	-4.51901528835	-0.151463586311	0.00841025423828	-0.214	1
ef	0.678	1554505698.84	0.678	-0.137122033615	-4.94450076421	-0.136659829778	0.00693305756001	-0.193	1
ef	0.668	1554505698.91	0.668	-0.156916665108	-4.25703668594	-0.156302322798	0.00921513465141	-0.221	1
ef	0.657	1554505698.97	0.657	-0.165850108021	-3.96140833334	-0.165152333837	0.010466612759	-0.233	1
ef	0.647	1554505699.04	0.647	-0.149727589789	-4.32118089199	-0.149150094912	0.0086624231623	-0.211	1
ef	0.637	1554505699.1	0.637	-0.1565068005	-4.07011067867	-0.155865921939	0.00961317841552	-0.22	1
ef	0.626	1554505699.17	0.626	-0.167941322714	-3.72749237581	-0.167190409831	0.0112636932408	-0.236	1
ef	0.617	1554505699.23	0.617	-0.139080219736	-4.43628864818	-0.138557710078	0.00783764486294	-0.196	1
ef	0.606	1554505699.3	0.606	-0.165812557053	-3.65472923626	-0.165056401825	0.0113423284144	-0.233	1
ef	0.597	1554505699.36	0.597	-0.137709301435	-4.33521914482	-0.137179880673	0.00794131143285	-0.194	1
ef	0.586	1554505699.43	0.586	-0.169009927249	-3.46725195104	-0.168197516683	0.0121861584935	-0.237	1
ef	0.579	1554505699.5	0.579	-0.10455848804	-5.53757051059	-0.104243793813	0.00472041339427	-0.147	1
ef	0.569	1554505699.56	0.569	-0.157500600817	-3.61268463135	-0.156773991583	0.010899138514	-0.221	1
ef	0.559	1554505699.63	0.559	-0.151118861466	-3.6990749836	-0.15043797565	0.01021328725	-0.213	1
ef	0.548	1554505699.69	0.548	-0.16907743782	-3.24111843109	-0.16820799804	0.0130415967061	-0.237	1
ef	0.537	1554505699.76	0.537	-0.17013612411	-3.15629618818	-0.169237728681	0.0134759314372	-0.239	1
ef	0.525	1554505699.82	0.525	-0.183320820965	-2.8638318181	-0.182253947206	0.0160031063806	-0.257	1
ef	0.516	1554505699.89	0.516	-0.135826395461	-3.79896704356	-0.135230503674	0.00893837679448	-0.191	1
ef	0.505	1554505699.95	0.505	-0.167257614756	-3.01929452203	-0.166334343809	0.0138490642049	-0.235	1
ef	0.492	1554505700.02	0.492	-0.201228763862	-2.44497849391	-0.199857049248	0.0205757192102	-0.281	1
ef	0.48	1554505700.08	0.48	-0.182234931623	-2.63396263123	-0.181081821543	0.0172966511999	-0.255	1
ef	0.47	1554505700.15	0.47	-0.153600375001	-3.05988836288	-0.152763741129	0.0125495080853	-0.216	1
ef	0.457	1554505700.22	0.457	-0.195686017801	-2.33537380512	-0.194289481785	0.0209480402422	-0.273	1
ef	0.445	1554505700.28	0.445	-0.188294362577	-2.36332088709	-0.186966468683	0.0199184084148	-0.263	1
ef	0.433	1554505700.34	0.433	-0.182448301362	-2.37327504158	-0.181167031821	0.0192190431118	-0.255	1
ef	0.419	1554505700.41	0.419	-0.21203164573	-1.97612011433	-0.210243363359	0.0268242355554	-0.295	1
ef	0.405	1554505700.48	0.405	-0.215500622057	-1.87934492316	-0.213589489625	0.0286669864858	-0.299	1
stop	0.391	1554505700.54	0.391	-0.211352426475	-1.84999058928	-0.209448340875	0.0285612840006	-0.293	1
