r,t,r_filt,v,tau,v_need,a_need,cmnd,marker
0.623,9.56762194633,0.623,0.0155678436351,40.0183875561,0.0155743272561,9.72543159894e-05,-0.0155743272561,1
0.62,9.63312411308,0.62,0.0458000116475,13.5371144613,0.0458563998483,0.000845823010853,-0.0458563998483,1
0.619,9.6973490715,0.619,0.0155702708823,39.7552492619,0.0155767984357,9.79133018368e-05,-0.0155767984357,1
0.617,9.76270699501,0.617,0.0306007273895,20.1629194021,0.0306260219469,0.000379418361736,-0.0306260219469,1
0.615,9.82761192322,0.615,0.0308143010899,19.9582654238,0.0308400333704,0.000385984207991,-0.0308400333704,1
0.614,9.89214396477,0.614,0.0154961779604,39.6226735115,0.0155026961887,9.77734248288e-05,-0.0155026961887,1
0.612,9.95729899406,0.612,0.0306960187354,19.9374389648,0.0307216790177,0.00038490423456,-0.0307216790177,1
0.611,10.0226700306,0.611,0.0152972945373,39.9417033195,0.015303677713,9.57476350902e-05,-0.015303677713,1
0.61,10.0866401196,0.61,0.0156323059148,39.0217542648,0.0156389826631,0.000100151224678,-0.0156389826631,1
0.607,10.151966095,0.607,0.0459235393088,13.2176223596,0.0459814462683,0.000868604391536,-0.0459814462683,1
0.607,10.2174699306,0.607,-0.0,-607.0,0.0,0.0,-0.01,1
0.606,10.2821691036,0.606,0.0154561481088,39.207698822,0.01546271831,9.85530174763e-05,-0.01546271831,1
0.605,10.3468160629,0.605,0.015468631638,39.1114103794,0.015475223334,9.88754399796e-05,-0.015475223334,1
0.604,10.4124760628,0.604,0.0152299726214,39.6586399078,0.0152363730648,9.60066498551e-05,-0.0152363730648,1
0.605,10.4778420925,0.605,-0.0152984662521,-39.5464479923,-0.0152920187846,9.67120122586e-05,-0.01,1
0.604,10.5420870781,0.604,0.0155654171445,38.8039712906,0.0155721026359,0.000100282372054,-0.0155721026359,1
0.603,10.6078720093,0.603,0.015201049572,39.6683135033,0.0152074363024,9.58009569195e-05,-0.0152074363024,1
0.603,10.671984911,0.603,-0.0,-603.0,0.0,0.0,-0.01,1
0.602,10.7372169495,0.602,0.0153298903886,39.2696871758,0.0153363966328,9.75936625113e-05,-0.0153363966328,1
0.604,10.8024139404,0.604,-0.0306762623603,-19.689491272,-0.030650295664,0.000389500443873,-0.01,1
0.604,10.8679668903,0.604,-0.0,-604.0,0.0,0.0,-0.01,1
0.605,10.9327399731,0.605,-0.0154385117676,-39.1877150536,-0.0154319457168,9.8490762644e-05,-0.01,1
0.603,10.9967060089,0.603,0.0312665928668,19.2857598066,0.0312936133153,0.000405306728646,-0.0312936133153,1
0.6,11.0627450943,0.6,0.0454276430748,13.2078170776,0.0454849672624,0.000859862814721,-0.0454849672624,1
0.599,11.1282830238,0.599,0.0152583398209,39.2572197914,0.0152648177545,9.71690042109e-05,-0.0152648177545,1
0.597,11.1920061111,0.597,0.0313857988431,19.0213415623,0.0314132993559,0.00041250769222,-0.0314132993559,1
0.597,11.2577800751,0.597,-0.0,-597.0,0.0,0.0,-0.01,1
0.597,11.3220949173,0.597,-0.0,-597.0,0.0,0.0,-0.01,1
0.594,11.387814045,0.594,0.0456488104308,13.0123872757,0.0457072788341,0.000877026049556,-0.0457072788341,1
0.591,11.4525430202,0.591,0.0463470955052,12.7516081333,0.0464076723034,0.000908651971984,-0.0464076723034,1
0.588,11.5171070099,0.588,0.0464655300387,12.6545419693,0.046526727473,0.00091796151436,-0.046526727473,1
0.587,11.5829429626,0.587,0.0151892690558,38.6457042694,0.0151958197059,9.82597506177e-05,-0.0151958197059,1
0.583,11.6470799446,0.583,0.062366514256,9.34796512127,0.0624777087128,0.00166791685268,-0.0624777087128,1
0.58,11.7127220631,0.58,0.0457023641323,12.6908095678,0.0457623844222,0.000900304347966,-0.0457623844222,1
0.578,11.7770431042,0.578,0.0310940240639,18.58878088,0.0311219029085,0.00041818266976,-0.0311219029085,1
0.58,11.8428759575,0.58,-0.0303799683474,-19.091527462,-0.0303534470119,0.0003978200331,-0.01,1
0.578,11.9074959755,0.578,0.0309501616021,18.6751852036,0.0309777830699,0.000414322016955,-0.0309777830699,1
0.577,11.9721601009,0.577,0.0154645252396,37.3112003803,0.0154714331408,0.000103618518581,-0.0154714331408,1
0.577,12.0367898941,0.577,-0.0,-577.0,0.0,0.0,-0.01,1
0.577,12.1026370525,0.577,-0.0,-577.0,0.0,0.0,-0.01,1
0.578,12.1669790745,0.578,-0.0155419424167,-37.1896886826,-0.0155349772502,0.000104477497441,-0.01,1
0.577,12.2319290638,0.577,0.0153964613465,37.476143837,0.0154033085741,0.000102708415075,-0.0154033085741,1
0.58,12.2966139317,0.58,-0.0463786987483,-12.5057411194,-0.0463168888719,0.000927148145511,-0.01,1
0.578,12.3623790741,0.578,0.0304112471405,19.0061261654,0.0304379150746,0.000400019010659,-0.0304379150746,1
0.576,12.4270560741,0.576,0.0309228937425,18.6269760132,0.0309505623003,0.000415028366932,-0.0309505623003,1
0.576,12.4924209118,0.576,-0.0,-576.0,0.0,0.0,-0.01,1
0.575,12.5574440956,0.575,0.0153791300458,37.388330698,0.0153859856296,0.000102833756942,-0.0153859856296,1
0.575,12.6228010654,0.575,-0.0,-575.0,0.0,0.0,-0.01,1
0.575,12.6872520447,0.575,-0.0,-575.0,0.0,0.0,-0.01,1
0.575,12.7546350956,0.575,-0.0,-575.0,0.0,0.0,-0.01,1
0.576,12.8179569244,0.576,-0.015792342361,-36.4733734131,-0.0157851259814,0.00010824569325,-0.01,1
0.578,12.8819730282,0.578,-0.0312421388215,-18.5006539822,-0.0312139937455,0.000422176141066,-0.01,1
0.577,12.9475750923,0.577,0.0152434227981,37.8523910046,0.0152501345814,0.000100676749827,-0.0152501345814,1
0.575,13.0126130581,0.575,0.030751269296,18.6984151602,0.0307786791674,0.000411148071008,-0.0307786791674,1
0.574,13.0776290894,0.574,0.0153808219379,37.3192019463,0.0153876909763,0.000103035576431,-0.0153876909763,1
0.573,13.1418380737,0.573,0.0155741444867,36.7917480469,0.0155811995762,0.000105826342274,-0.0155811995762,1
0.571,13.2070920467,0.571,0.0306494747803,18.6300092936,0.0306768942288,0.000411291726931,-0.0306768942288,1
0.571,13.2720570564,0.571,-0.0,-571.0,0.0,0.0,-0.01,1
0.571,13.3367359638,0.571,-0.0,-571.0,0.0,0.0,-0.01,1
0.57,13.4024999142,0.57,0.0152058992002,37.4854516983,0.0152126600005,0.0001014120046,-0.0152126600005,1
0.568,13.4675879478,0.568,0.0307276143869,18.485001564,0.0307553193835,0.000415574949783,-0.0307553193835,1
0.567,13.5312991142,0.567,0.0156958357034,36.1242313385,0.0157030773042,0.000108624011652,-0.0157030773042,1
0.564,13.5966439247,0.564,0.0459103022519,12.2848243713,0.0459725881814,0.000934288941872,-0.0459725881814,1
0.564,13.6617240906,0.564,-0.0,-564.0,0.0,0.0,-0.01,1
0.561,13.7274820805,0.561,0.0456218325,12.2967441082,0.0456836670693,0.000927518538619,-0.0456836670693,1
0.56,13.7919619083,0.56,0.0155087262616,36.1087036133,0.0155158846125,0.000107375263508,-0.0155158846125,1
0.559,13.8572669029,0.559,0.0153127644583,36.505491972,0.0153197555362,0.000104866169658,-0.0153197555362,1
0.557,13.9220120907,0.557,0.0308903266669,18.031534791,0.0309188787998,0.000428281993532,-0.0309188787998,1
0.553,13.9864048958,0.553,0.0621187412758,8.902305305,0.0622350383831,0.00174445660836,-0.0622350383831,1
0.551,14.0512070656,0.551,0.0308631640912,17.8529977798,0.0308919763991,0.000432184617842,-0.0308919763991,1
0.548,14.1169359684,0.548,0.0456420215679,12.0064795812,0.0457053790537,0.000950362286865,-0.0457053790537,1
0.546,14.1818079948,0.546,0.0308299294726,17.7100632191,0.0308589430426,0.000435203549125,-0.0308589430426,1
0.542,14.2466819286,0.542,0.0616580460932,8.79041802883,0.0617749499876,0.00175355841699,-0.0617749499876,1
0.54,14.3120689392,0.54,0.0305871148173,17.6544928551,0.0306159904838,0.000433134996689,-0.0306159904838,1
0.539,14.377794981,0.539,0.0152146694477,35.4263365269,0.0152218273378,0.000107368351764,-0.0152218273378,1
0.536,14.4416348934,0.536,0.0469925456746,11.4060643514,0.0470612116991,0.00102999036799,-0.0470612116991,1
0.532,14.5069949627,0.532,0.0611994455388,8.69288921356,0.0613167817585,0.00176004329617,-0.0613167817585,1
0.529,14.5724229813,0.529,0.045851915824,11.5371406078,0.0459181539521,0.00099357192095,-0.0459181539521,1
0.529,14.636993885,0.529,-0.0,-529.0,0.0,0.0,-0.01,1
0.528,14.7010428905,0.528,0.0156130449187,33.8178749084,0.0156207395895,0.000115420062326,-0.0156207395895,1
0.527,14.7663910389,0.527,0.0153026524134,34.4384741783,0.0153100582063,0.00011108689321,-0.0153100582063,1
0.528,14.831099987,0.528,-0.0154538132486,-34.1663246155,-0.0154462747277,0.000113077814358,-0.01,1
0.528,14.8958981037,0.528,-0.0,-528.0,0.0,0.0,-0.01,1
0.526,14.9612169266,0.526,0.0306190453595,17.1788504124,0.0306487515046,0.0004455921762,-0.0306487515046,1
0.526,15.0264561176,0.526,-0.0,-526.0,0.0,0.0,-0.01,1
0.525,15.0915350914,0.525,0.0153659460509,34.1664612293,0.0153734416794,0.000112434427638,-0.0153734416794,1
0.525,15.1565930843,0.525,-0.0,-525.0,0.0,0.0,-0.01,1
0.524,15.2217729092,0.524,0.0153421707196,34.1542282105,0.0153496574308,0.000112300669078,-0.0153496574308,1
0.524,15.2865428925,0.524,-0.0,-524.0,0.0,0.0,-0.01,1
0.523,15.3540759087,0.523,0.0148075720025,35.3197674751,0.014814559389,0.000104810797615,-0.014814559389,1
0.527,15.4201331139,0.527,-0.0605535760691,-8.70303678513,-0.0604376135272,0.00173943812844,-0.01,1
0.525,15.4814798832,0.525,0.0326015537859,16.1035269499,0.0326352954148,0.00050612443298,-0.0326352954148,1
0.525,15.5466899872,0.525,-0.0,-525.0,0.0,0.0,-0.01,1
0.525,15.6119270325,0.525,-0.0,-525.0,0.0,0.0,-0.01,1
0.523,15.6770920753,0.523,0.0306913018345,17.0406587124,0.030721319553,0.000450265778343,-0.030721319553,1
0.523,15.7422819138,0.523,-0.0,-523.0,0.0,0.0,-0.01,1
0.522,15.8074519634,0.522,0.0153444719638,34.0187659264,0.0153519896145,0.000112764760463,-0.0153519896145,1
0.522,15.8717830181,0.522,-0.0,-522.0,0.0,0.0,-0.01,1
0.522,15.9377529621,0.522,-0.0,-522.0,0.0,0.0,-0.01,1
0.522,16.0026860237,0.522,-0.0,-522.0,0.0,0.0,-0.01,1
0.522,16.066879034,0.522,-0.0,-522.0,0.0,0.0,-0.01,1
0.521,16.1319220066,0.521,0.0153744510832,33.8873887062,0.0153820126234,0.000113423102739,-0.0153820126234,1
0.52,16.1963589191,0.52,0.0155190551601,33.507194519,0.0155267744252,0.000115788977433,-0.0155267744252,1
0.519,16.26116395,0.519,0.0154309007696,33.633810997,0.0154385472918,0.000114697831678,-0.0154385472918,1
0.524,16.326198101,0.524,-0.0768826826702,-6.8155790329,-0.0766946754535,0.00282010825122,-0.01,1
0.523,16.3915939331,0.523,0.0152914944037,34.2020201683,0.0152989459589,0.000111773327485,-0.0152989459589,1
0.523,16.4562580585,0.523,-0.0,-523.0,0.0,0.0,-0.01,1
0.523,16.5220758915,0.523,-0.0,-523.0,0.0,0.0,-0.01,1
0.522,16.5877850056,0.522,0.01521858899,34.300157547,0.0152259838001,0.000110922150789,-0.0152259838001,1
0.522,16.6510519981,0.522,-0.0,-522.0,0.0,0.0,-0.01,1
0.521,16.7169549465,0.521,0.0151738279484,34.3354361057,0.0151811934331,0.000110482271884,-0.0151811934331,1
0.521,16.7818419933,0.521,-0.0,-521.0,0.0,0.0,-0.01,1
0.52,16.846626997,0.52,0.0154356709651,33.6882019043,0.0154433075016,0.000114548047184,-0.0154433075016,1
0.52,16.9134819508,0.52,-0.0,-520.0,0.0,0.0,-0.01,1
0.522,16.9769570827,0.522,-0.0315084023829,-16.567009449,-0.0314767044448,0.000475469071226,-0.01,1
0.522,17.0417261124,0.522,-0.0,-522.0,0.0,0.0,-0.01,1
0.523,17.1066598892,0.523,-0.015400305487,-33.9603652954,-0.0153927475071,0.000113369698419,-0.01,1
0.525,17.1714129448,0.525,-0.0308865733411,-16.9976770878,-0.0308562882486,0.000454276387026,-0.01,1
0.525,17.2358551025,0.525,-0.0,-525.0,0.0,0.0,-0.01,1
0.525,17.3012878895,0.525,-0.0,-525.0,0.0,0.0,-0.01,1
0.52,17.3657479286,0.52,0.0775674366135,6.70384407043,0.0777602797937,0.00289264770326,-0.0777602797937,1
0.507,17.4313108921,0.507,0.198282678342,2.55695557594,0.199575118202,0.0193865978948,-0.199575118202,1
0.496,17.4967780113,0.496,0.168023278427,2.95197192105,0.168971928363,0.014229749039,-0.168971928363,1
